Cell name,ref,rank,Cell marker,scores,logfoldchanges,pvals,pvals_adj
B cell,rest,0,ENSG00000211592,24.121708,10.810293,1.48E-128,2.84E-124
B cell,rest,1,ENSG00000282633,22.509373,9.306435,3.36E-112,3.23E-108
B cell,rest,2,ENSG00000277633,19.426561,8.263744,4.60E-84,2.95E-80
B cell,rest,3,ENSG00000211897,16.892967,7.1428413,5.07E-64,2.43E-60
B cell,rest,4,ENSG00000282184,16.740482,7.0237527,6.64E-63,2.55E-59
B cell,rest,5,ENSG00000232126,16.238138,5.220632,2.71E-59,8.68E-56
B cell,rest,6,ENSG00000170345,16.08179,4.1679354,3.42E-58,9.39E-55
B cell,rest,7,ENSG00000273686,15.560023,3.9900956,1.36E-54,3.27E-51
B cell,rest,8,ENSG00000211893,15.236485,6.203125,2.02E-52,4.32E-49
B cell,rest,9,ENSG00000274497,15.2285795,6.1662908,2.29E-52,4.39E-49
B cell,rest,10,ENSG00000266865,14.923608,4.993807,2.31E-50,4.04E-47
B cell,rest,11,ENSG00000282657,14.911597,6.8771577,2.77E-50,4.43E-47
B cell,rest,12,ENSG00000198502,14.701113,7.3066564,6.34E-49,9.37E-46
B cell,rest,13,ENSG00000123358,13.452577,5.0018363,2.97E-41,4.08E-38
B cell,rest,14,ENSG00000233841,13.092731,5.6977205,3.62E-39,4.64E-36
B cell,rest,15,ENSG00000196126,12.384745,5.0043316,3.16E-35,3.57E-32
B cell,rest,16,ENSG00000171223,12.1033945,4.3166146,1.01E-33,1.08E-30
B cell,rest,17,ENSG00000223551,11.995793,3.1917496,3.74E-33,3.78E-30
B cell,rest,18,ENSG00000143546,11.96923,4.441478,5.15E-33,4.76E-30
B cell,rest,19,ENSG00000204525,11.968311,4.934293,5.21E-33,4.76E-30
B cell,rest,20,ENSG00000288859,11.847413,3.9419708,2.22E-32,1.94E-29
B cell,rest,21,ENSG00000116741,11.815334,4.5398245,3.25E-32,2.72E-29
B cell,rest,22,ENSG00000132465,11.680373,6.0328174,1.61E-31,1.23E-28
B cell,rest,23,ENSG00000229215,11.598447,4.714882,4.20E-31,3.10E-28
B cell,rest,24,ENSG00000122852,11.416701,4.369315,3.45E-30,2.45E-27
B cell,rest,25,ENSG00000228987,11.402884,3.8963697,4.04E-30,2.77E-27
B cell,rest,26,ENSG00000211677,11.361339,5.5068893,6.51E-30,4.31E-27
B cell,rest,27,ENSG00000150991,11.23131,2.7297688,2.86E-29,1.83E-26
B cell,rest,28,ENSG00000288825,11.2224245,3.6799412,3.16E-29,1.96E-26
B cell,rest,29,ENSG00000197253,10.995426,4.4369774,4.02E-28,2.27E-25
B cell,rest,30,ENSG00000196735,10.944751,4.743349,7.04E-28,3.86E-25
B cell,rest,31,ENSG00000019582,10.837486,2.4501696,2.29E-27,1.19E-24
B cell,rest,32,ENSG00000234794,10.737821,3.8160028,6.76E-27,3.42E-24
B cell,rest,33,ENSG00000075624,10.5021515,2.01644,8.44E-26,4.16E-23
B cell,rest,34,ENSG00000163220,10.379997,3.8134134,3.06E-25,1.47E-22
B cell,rest,35,ENSG00000112096,10.348716,3.6112354,4.24E-25,1.99E-22
B cell,rest,36,ENSG00000254709,10.301502,5.1645722,6.94E-25,3.17E-22
B cell,rest,37,ENSG00000099860,10.016292,3.5995545,1.29E-23,5.77E-21
B cell,rest,38,ENSG00000090382,9.933538,3.539912,2.98E-23,1.30E-20
B cell,rest,39,ENSG00000160888,9.897385,3.5629568,4.27E-23,1.82E-20
B cell,rest,40,ENSG00000211679,9.739691,5.185036,2.04E-22,8.52E-20
B cell,rest,41,ENSG00000179344,9.601574,3.9442587,7.87E-22,3.22E-19
B cell,rest,42,ENSG00000168484,9.437384,2.5259304,3.82E-21,1.53E-18
B cell,rest,43,ENSG00000124243,9.353466,4.435237,8.48E-21,3.32E-18
B cell,rest,44,ENSG00000130522,9.224448,3.6632679,2.85E-20,1.07E-17
B cell,rest,45,ENSG00000226260,9.157044,3.1307979,5.33E-20,1.97E-17
B cell,rest,46,ENSG00000185303,9.032531,3.490799,1.68E-19,5.75E-17
