Species,Tissue Class,Tissue Type,Cancer,Cell name,Cell marker,Source,Supports,Detail
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AADAC,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AKR1B10,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AKR1C1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AKR1C2,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AKR1C3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AKR7A3,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,ALB,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,ALDOB,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AMY2A,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AMY2B,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AMYP1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,ANPEP,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AQP8,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,AZGP1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,BCAT1,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,C15orf48,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,C4B,Single-cell sequencing,1,DETAIL
Human,Pancreas,Pancreatic islet,Normal cell,acinar,CA12,Single-cell sequencing,1,DETAIL
